,paper_title
62,Semantic Interference in a Delayed Naming Task: Evidence for the Response Exclusion Hypothesis
63,Sensitivity to Object Viewpoint and Action Instructions During Search for Targets in the Lower Visual Field
64,Sex differences in mate preferences revisited: do people know what they initially desire in a romantic partner?
65,Stereotypes and Retrieval-Provoked Illusory Source Recollections
66,"Temporal Selection is Suppressed, Delayed, and Diffused During the Attentional Blink"
67,Terror Management and Adults' Attachment to Their Parents: The Safe Haven Remains
68,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk
69,"The Developmental Psychometrics of Big Five Self-Reports: Acquiescence, Factor Structure, Coherence, and Differentiation From Ages 10 to 20"
70,The Effect of Global Versus Local Processing Styles on Assimilation Versus Contrast in Social Judgment
71,The Effects of an Implemental Mind-Set on Attitude Strength
72,The Intermixed-Blocked Effect in Human Perceptual Learning Is Not the Consequence of Trial Spacing
73,The Nonverbal Expression of Pride: Evidence for Cross-Cultural Recognition
74,The Rejection of Moral Rebels: Resenting Those Who Do the Right Thing
75,The Representation of Simple Ensemble Visual Features Outside the Focus of Attention
76,The Stroop Effect: Why Proportion Congruent Has Nothing to Do With Congruency and Everything to Do With Contingency
77,The Sunny Side of Fairness: Preference for Fairness Activates Reward Circuitry (and Disregarding Unfairness Activates Self-Control Circuitry)
78,The Threat of Appearing Prejudiced and Race-Based Attentional Biases
79,The Ultimate Sampling Dilemma in Experience-Based Decision Making
80,The Value of Believing in Free Will: Encouraging a Belief in Determinism Increases Cheating
81,The space between us: stereotype threat and distance in interracial contexts
82,"Toward a Physiology of Dual-Process Reasoning and Judgment: Lemonade, Willpower, and Expensive Rule-Based Analysis"
83,Tracing Attention and the Activation Flow of Spoken Word Planning Using Eye Movements
84,What Do Cross-National Comparisons of Personality Traits Tell Us?: The Case of Conscientiousness
85,When Does Between-Sequence Phonological Similarity Promote Irrelevant Sound Disruption?
86,Why do implicit and explicit attitude tests diverge? The role of structural fit
87,With a Clean Conscience: Cleanliness Reduces the Severity of Moral Judgments
88,Working Memory Costs of Task Switching
